Distribution,Doors,Won % switch, Won % non-switch
normal,3,27.0,73.0
binomial,3,48.0,52.0
exponential,3,38.0,62.0
poisson,3,71.0,28.999999999999996
laplace,3,45.0,55.00000000000001
logistic,3,60.0,40.0
uniform,3,55.00000000000001,45.0
rayleigh,3,41.0,59.0
normal,4,67.0,33.0
binomial,4,63.0,37.0
exponential,4,62.0,38.0
poisson,4,69.0,31.0
laplace,4,60.0,40.0
logistic,4,69.0,31.0
uniform,4,62.0,38.0
rayleigh,4,61.0,39.0
normal,5,73.0,27.0
binomial,5,73.0,27.0
exponential,5,72.0,28.000000000000004
poisson,5,75.0,25.0
laplace,5,66.0,34.0
logistic,5,87.0,13.0
uniform,5,63.0,37.0
rayleigh,5,71.0,28.999999999999996
normal,6,74.0,26.0
binomial,6,79.0,21.0
exponential,6,77.0,23.0
poisson,6,76.0,24.0
laplace,6,77.0,23.0
logistic,6,81.0,19.0
uniform,6,70.0,30.0
rayleigh,6,86.0,14.000000000000002
normal,7,87.0,13.0
binomial,7,85.0,15.0
exponential,7,84.0,16.0
poisson,7,92.0,8.0
laplace,7,73.0,27.0
logistic,7,82.0,18.0
uniform,7,87.0,13.0
rayleigh,7,78.0,22.0
normal,8,75.0,25.0
binomial,8,85.0,15.0
exponential,8,84.0,16.0
poisson,8,92.0,8.0
laplace,8,78.0,22.0
logistic,8,80.0,20.0
uniform,8,81.0,19.0
rayleigh,8,97.0,3.0
normal,9,82.0,18.0
binomial,9,84.0,16.0
exponential,9,82.0,18.0
poisson,9,81.0,19.0
laplace,9,77.0,23.0
logistic,9,87.0,13.0
uniform,9,80.0,20.0
rayleigh,9,83.0,17.0
normal,10,89.0,11.0
binomial,10,88.0,12.0
exponential,10,84.0,16.0
poisson,10,79.0,21.0
laplace,10,94.0,6.0
logistic,10,86.0,14.000000000000002
uniform,10,91.0,9.0
rayleigh,10,88.0,12.0
normal,11,87.0,13.0
binomial,11,86.0,14.000000000000002
exponential,11,89.0,11.0
poisson,11,92.0,8.0
laplace,11,88.0,12.0
logistic,11,88.0,12.0
