Distribution,Trials,Won % switch, Won % non-switch
normal,2,100,0
binomial,2,100,0
exponential,2,100,0
poisson,2,100,0
laplace,2,100,0
logistic,2,0,100
uniform,2,0,100
rayleigh,2,50,50
normal,12,50,50
binomial,12,50,50
exponential,12,25,75
poisson,12,41.66666667,58.33333333
laplace,12,75,25
logistic,12,33.33333333,66.66666667
uniform,12,50,50
rayleigh,12,58.33333333,41.66666667
normal,22,50,50
binomial,22,68.18181818,31.81818182
exponential,22,77.27272727,22.72727273
poisson,22,54.54545455,45.45454545
laplace,22,59.09090909,40.90909091
logistic,22,31.81818182,68.18181818
uniform,22,54.54545455,45.45454545
rayleigh,22,59.09090909,40.90909091
normal,32,75,25
binomial,32,25,75
exponential,32,75,25
poisson,32,46.875,53.125
laplace,32,50,50
logistic,32,62.5,37.5
uniform,32,40.625,59.375
rayleigh,32,56.25,43.75
normal,42,47.61904762,52.38095238
binomial,42,47.61904762,52.38095238
exponential,42,59.52380952,40.47619048
poisson,42,35.71428571,64.28571429
laplace,42,54.76190476,45.23809524
logistic,42,69.04761905,30.95238095
uniform,42,57.14285714,42.85714286
rayleigh,42,52.38095238,47.61904762
normal,52,48.07692308,51.92307692
binomial,52,78.84615385,21.15384615
exponential,52,48.07692308,51.92307692
poisson,52,67.30769231,32.69230769
laplace,52,53.84615385,46.15384615
logistic,52,63.46153846,36.53846154
uniform,52,55.76923077,44.23076923
rayleigh,52,50,50
normal,62,45.16129032,54.83870968
binomial,62,50,50
exponential,62,40.32258065,59.67741935
poisson,62,37.09677419,62.90322581
laplace,62,50,50
logistic,62,30.64516129,69.35483871
uniform,62,45.16129032,54.83870968
rayleigh,62,61.29032258,38.70967742
normal,72,43.05555556,56.94444444
binomial,72,68.05555556,31.94444444
exponential,72,59.72222222,40.27777778
poisson,72,43.05555556,56.94444444
laplace,72,61.11111111,38.88888889
logistic,72,54.16666667,45.83333333
uniform,72,36.11111111,63.88888889
rayleigh,72,54.16666667,45.83333333
normal,82,85.36585366,14.63414634
binomial,82,53.65853659,46.34146341
exponential,82,53.65853659,46.34146341
poisson,82,62.19512195,37.80487805
laplace,82,39.02439024,60.97560976
logistic,82,25.6097561,74.3902439
uniform,82,70.73170732,29.26829268
rayleigh,82,37.80487805,62.19512195
normal,92,66.30434783,33.69565217
binomial,92,70.65217391,29.34782609
exponential,92,51.08695652,48.91304348
poisson,92,23.91304348,76.08695652
laplace,92,43.47826087,56.52173913
logistic,92,54.34782609,45.65217391
uniform,92,65.2173913,34.7826087
rayleigh,92,27.17391304,72.82608696
normal,102,79.41176471,20.58823529
binomial,102,35.29411765,64.70588235
exponential,102,47.05882353,52.94117647
poisson,102,63.7254902,36.2745098
laplace,102,69.60784314,30.39215686
logistic,102,43.1372549,56.8627451
uniform,102,62.74509804,37.25490196
rayleigh,102,64.70588235,35.29411765
normal,112,46.42857143,53.57142857
binomial,112,79.46428571,20.53571429
exponential,112,25,75
poisson,112,46.42857143,53.57142857
laplace,112,41.96428571,58.03571429
logistic,112,46.42857143,53.57142857
uniform,112,33.03571429,66.96428571
rayleigh,112,40.17857143,59.82142857
